                                                       [Responses]                                                       
Sampling Times: 1.00e+02 1.01e+02 1.02e+02 1.03e+02 1.04e+02 1.05e+02 1.06e+02 1.07e+02 1.08e+02 1.09e+02 1.10e+02 1.11e+02 1.12e+02 1.13e+02 1.14e+02 1.15e+02 1.16e+02 1.17e+02 1.18e+02 1.19e+02 1.20e+02 1.21e+02 1.22e+02 1.23e+02 1.24e+02 1.25e+02 1.26e+02 1.27e+02 1.28e+02 1.29e+02 1.30e+02
[Candidate          1] 
Time-invariant Controls: 5.00e-01 1.00e+00 0.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.46e-01 2.54e-01 2.93e+02 2.82e+02 2.00e+00
 2.33e-01 2.67e-01 2.93e+02 2.81e+02 2.00e+00
 2.32e-01 2.68e-01 2.92e+02 2.80e+02 2.00e+00
 2.37e-01 2.63e-01 2.91e+02 2.79e+02 2.00e+00
 2.42e-01 2.58e-01 2.91e+02 2.79e+02 2.00e+00
 2.46e-01 2.54e-01 2.91e+02 2.79e+02 2.00e+00
 2.49e-01 2.51e-01 2.91e+02 2.79e+02 2.00e+00
 2.50e-01 2.50e-01 2.91e+02 2.79e+02 2.00e+00
 2.51e-01 2.49e-01 2.91e+02 2.79e+02 2.00e+00
 2.52e-01 2.48e-01 2.91e+02 2.79e+02 2.00e+00
 2.52e-01 2.48e-01 2.91e+02 2.79e+02 2.00e+00
 2.52e-01 2.48e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
=========================================================================================================================
[Candidate          2] 
Time-invariant Controls: 5.00e-01 1.00e+00 1.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
 2.53e-01 2.47e-01 2.91e+02 2.79e+02 2.00e+00
